state,regular_gas,mid_gas,premium_gas,diesel,residential_electric_rate
Alabama,3.845,4.318,4.721,4.981,16.18
Alaska,5.203,5.45,5.684,5.707,25.79
Arizona,4.601,4.968,5.293,5.701,16.03
Arkansas,3.853,4.338,4.707,4.897,12.73
California,5.948,6.19,6.367,7.249,33.22
Colorado,4.27,4.672,5.001,5.121,16.79
Connecticut,4.423,4.998,5.38,5.659,30.77
Delaware,3.988,4.609,4.902,5.097,16.27
District of Columbia,4.5,5.12,5.492,5.847,23.97
Florida,3.889,4.343,4.68,4.989,15.8
Georgia,3.871,4.335,4.751,4.987,14.13
Hawaii,5.614,5.862,6.101,7.124,43
Idaho,4.554,4.84,5.121,5.431,12.63
Illinois,4.633,5.213,5.695,5.741,17.83
Indiana,3.517,4.09,4.599,5.716,16.06
Iowa,3.864,4.176,4.697,4.952,12.74
Kansas,3.835,4.194,4.53,4.844,15.11
Kentucky,3.847,4.413,4.85,5.009,13.42
Louisiana,3.774,4.216,4.612,4.833,12.87
Maine,4.296,4.874,5.363,5.641,32.17
Maryland,4.056,4.673,4.974,5.202,20.08
Massachusetts,4.331,4.932,5.32,5.611,30.46
Michigan,4.211,4.848,5.433,5.757,20
Minnesota,4.029,4.465,4.957,5.089,15.39
Mississippi,3.799,4.266,4.654,4.867,14.72
Missouri,3.893,4.285,4.623,4.956,12.17
Montana,4.376,4.719,5.051,5.207,13.33
Nebraska,4.017,4.24,4.697,4.895,11.79
Nevada,5.078,5.408,5.689,5.977,14.38
New Hampshire,4.31,4.864,5.335,5.587,26.52
New Jersey,4.296,4.863,5.138,5.368,23.12
New Mexico,4.148,4.582,4.89,5.266,15.07
New York,4.489,5.001,5.388,5.84,29.99
North Carolina,3.828,4.283,4.686,5.044,14.64
North Dakota,3.936,4.303,4.722,4.891,11.64
Ohio,4.136,4.678,5.199,5.641,17.52
Oklahoma,3.725,4.124,4.431,4.686,12.89
Oregon,5.146,5.424,5.697,5.991,14.64
Pennsylvania,4.394,4.842,5.237,5.746,20.3
Rhode Island,4.229,4.942,5.354,5.353,29.45
South Carolina,3.782,4.248,4.64,4.942,16.15
South Dakota,4.077,4.303,4.801,4.809,13.24
Tennessee,3.816,4.29,4.697,4.978,12.82
Texas,3.699,4.179,4.548,4.775,15.41
Utah,4.479,4.766,5.007,5.411,13.33
Vermont,4.423,4.97,5.423,5.637,23.27
Virginia,4.041,4.55,4.931,5.234,15.96
Washington,5.65,5.924,6.183,6.622,14.11
West Virginia,4.215,4.621,5.068,5.341,14.41
Wisconsin,4.016,4.592,5.163,5.352,18.74
Wyoming,4.362,4.638,4.935,5.29,13.04